"unpd_code","unpd_description","code","description"
"1500","Low-income countries",NA,NA
"1501","Lower-middle-income countries",NA,NA
"1502","Upper-middle-income countries",NA,NA
"1503","High-income countries",NA,NA
"1517","Middle-income countries",NA,NA
"1518","No income group available",NA,NA
"1636","Land-locked Developing Countries (LLDC)",NA,NA
"1637","Small Island Developing States (SIDS)",NA,NA
"1802","World Bank income groups",NA,NA
"1803","UN development groups",NA,NA
"1828","Sustainable Development Goal (SDG) regions",NA,NA
"1829","EUROPE AND NORTHERN AMERICA",NA,NA
"1830","LATIN AMERICA AND THE CARIBBEAN",NA,NA
"1832","EASTERN AND SOUTH-EASTERN ASIA",NA,NA
"1833","NORTHERN AFRICA AND WESTERN ASIA",NA,NA
"1835","OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND)",NA,NA
"1840","Geographic regions",NA,NA
"5500","Central Asia",NA,NA
"5501","Southern Asia",NA,NA
